Aareal Bank, Wiesbaden, Germany
Aargauische Kantonalbank, Aarau, Switzerland
Abacus Federal Savings Bank, New York, United States
AB Bank, Dhaka, Bangladesh
AB SEB bankas, Vilnius, Lithuania
ABC Islamic Bank, Manama, Bahrain
ABC Bank (Kenya), Nairobi, Kenya
ABC Bank (Uganda), Kampala, Uganda
Abhyudaya Co-operative Bank Ltd, Mumbai, India
ABLV Bank, AS, Riga, Latvia
ABN AMRO, Amsterdam, Netherlands
ABN AMRO Group, Amsterdam, Netherlands
Absa Group Limited, Johannesburg, South Africa
Abu Dhabi Commercial Bank, Abu Dhabi, United Arab Emirates
Abu Dhabi Islamic Bank, Abu Dhabi, United Arab Emirates
ACBA-Credit Agricole Bank, Yerevan, Armenia
Access Bank Azerbaijan, Baku, Azerbaijan
Access Bank Group, Lagos, Nigeria
AccessBank Liberia, Monrovia, Liberia
Access Bank plc, Lagos, Nigeria
Access Bank Rwanda, Kigali, Rwanda
AccessBank Azerbaijan, Baku, Azerbaijan
AccessBank Tajikistan, Dushanbe, Tajikistan
Access Bank Zambia, Lusaka, Zambia
Achmea Bank, The Hague, Netherlands
Achmea Hypotheekbank, Den Bosch, Netherlands
Acleda Bank, Phnom Penh, Cambodia
Acleda Bank Myanmar, Yangon, Myanmar
Adabank, Istanbul, Turkey
Addiko Bank, Klagenfurt, Austria
AEK Bank 1826, Thun, Switzerland
Affin Bank, Kuala Lumpur, Malaysia
Afghanistan International Bank, Kabul, Afghanistan
AfrAsia Bank Limited, Port Louis, Mauritius
Afrasia Bank Zimbabwe Limited, Harare, Zimbabwe
African Bank, Midrand, South Africa
African Export–Import Bank (Afreximbank), Cairo, Egypt
African Investment Bank, Tripoli, Libya
Afriland First Bank, Yaoundé, Cameroon
Agrani Bank, Dhaka, Bangladesh
Agricultural Bank of Libya, Tripoli, Libya
Agricultural Bank of China, Beijing, China
Agricultural Cooperative Bank of Iraq, Baghdad, Iraq
Agricultural Development Bank of Ghana, Accra, Ghana
Agriculture Development Bank, Ramshah Path, Kathmandu
Agrobank, Kuala Lumpur, Malaysia
Agroindustrijsko Komercijalna Banka, Nis, Serbia
Agroinvestbank, Dushanbe, Tajikistan
Ahli Bank Qatar, Doha, Qatar
Ahli United Bank, Manama, Bahrain
Ahli United Bank Kuwait, Safat, Kuwait
